LINK-1-1	MOVING	ARM-1=0.07678970849386778;LINK-PIN-1-BELL=0.1199999999998883;LINK-PIN-1-CROSSHEAD=0.11999999999992639;CROSSHEAD-001=0.3999999999999999;LINK-1-2=2.0;PIVOT-PIN-1=3.616653826391958
LINK-1-2	MOVING	ARM-1=0.07678970849386778;LINK-PIN-1-BELL=0.11999999999990649;LINK-PIN-1-CROSSHEAD=0.11999999999992733;CROSSHEAD-001=0.40000000000000036;LINK-1-1=2.0;LINK-CLIP-1-BELL=2.9099999999999993
LINK-2-1	MOVING	ARM-2=0.07678970849386624;LINK-PIN-2-BELL=0.11999999999994065;LINK-PIN-2-CROSSHEAD=0.11999999999995531;CROSSHEAD-001=0.3999999999999988;LINK-2-2=2.000000000000001;PIVOT-PIN-2=3.616653826391958
LINK-2-2	MOVING	ARM-2=0.07678970849386624;LINK-PIN-2-BELL=0.1199999999998919;LINK-PIN-2-CROSSHEAD=0.11999999999992514;CROSSHEAD-001=0.39999999999999714;LINK-2-1=2.000000000000001;LINK-CLIP-2-BELL=2.909999999999995
LINK-3-1	MOVING	ARM-3=0.07678970849386624;LINK-PIN-3-CROSSHEAD=0.11999999999992769;LINK-PIN-3-BELL=0.11999999999993664;CROSSHEAD-001=0.3999999999999996;LINK-3-2=1.9999999999999996;PIVOT-WASHER-3-1=3.6837032446150815
LINK-3-2	MOVING	ARM-3=0.07678970849386624;LINK-PIN-3-BELL=0.11999999999991978;LINK-PIN-3-CROSSHEAD=0.1199999999999201;CROSSHEAD-001=0.399999999999998;LINK-3-1=1.9999999999999996;LINK-CLIP-3-BELL=2.909999999999998
LINK-CLIP-1-BELL	MOVING	ARM-1=0.0;LINK-PIN-1-BELL=0.029999999999911837;PIVOT-CARRIER-1=1.21;PIVOT-WASHER-1-2=2.316740156197211;LINK-1-2=2.9099999999999993;FIXED-SECTOR-1=3.275479560665066
LINK-CLIP-1-CROSSHEAD	MOVING	LINK-PIN-1-CROSSHEAD=0.029999999999911837;CROSSHEAD-001=0.6099999999999985;LINK-1-2=2.9099999999999993;ARM-1=3.30871215252208;FIXED-SECTOR-1=3.916183389237817;GS19-PIN-MOVING=4.028393758658796
LINK-CLIP-2-BELL	MOVING	ARM-2=0.0;LINK-PIN-2-BELL=0.02999999999989315;PIVOT-CARRIER-2=1.2099999999999995;PIVOT-WASHER-2-2=2.3167401561972083;LINK-2-2=2.909999999999995;FIXED-SECTOR-2=3.2754795606650697
LINK-CLIP-2-CROSSHEAD	MOVING	LINK-PIN-2-CROSSHEAD=0.02999999999990868;CROSSHEAD-001=0.6099999999999978;LINK-2-2=2.909999999999998;ARM-2=3.3087121525220793;FIXED-SECTOR-2=3.916183389237821;HBD-PIN-MOVING=4.028393758658799
LINK-CLIP-3-BELL	MOVING	ARM-3=0.0;LINK-PIN-3-BELL=0.02999999999989527;PIVOT-CARRIER-3=1.2100000000000004;PIVOT-WASHER-3-2=2.316740156197211;LINK-3-2=2.909999999999998;FIXED-SECTOR-3=3.2754795606650817
LINK-CLIP-3-CROSSHEAD	MOVING	LINK-PIN-3-CROSSHEAD=0.029999999999932605;CROSSHEAD-001=0.6099999999999978;BACKUP-SPRING-MOVING-SEAT=2.5575689687760974;LINK-3-2=2.909999999999999;ARM-3=3.3087121525220793;FIXED-SECTOR-3=3.916183389237827
LINK-PIN-1-BELL	MOVING	ARM-1=0.0;PIVOT-CARRIER-1=0.0;LINK-CLIP-1-BELL=0.029999999999911837;LINK-1-1=0.1199999999998883;LINK-1-2=0.11999999999990649;FIXED-SECTOR-3=1.6654795606650712
LINK-PIN-1-CROSSHEAD	MOVING	LINK-CLIP-1-CROSSHEAD=0.029999999999911837;LINK-1-1=0.11999999999992639;LINK-1-2=0.11999999999992733;CROSSHEAD-001=0.17999999999993338;BACKUP-SPRING-MOVING-SEAT=1.5588875320097204;FIXED-SECTOR-3=2.200280145907386
